window,ticker,loaded,source,first,last,rows
COVID_2020,CLX,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,CTAS,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,CVX,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,DOV,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,ECL,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,ED,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,EMR,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,ESS,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,EXPD,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,FRT,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,GD,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,GPC,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,GWW,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,HRL,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,ITW,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,JNJ,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,KMB,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,KO,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,LEG,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,LIN,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,LOW,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,MCD,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,MDT,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,MKC,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,MMM,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,NUE,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,O,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,PBCT,True,legacy_fallback,2005-02-25,2017-11-10,3201.0
COVID_2020,PEP,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,PG,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,PNR,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,PPG,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,ROP,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,ROST,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,SHW,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,SPGI,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,SWK,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,SYY,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,T,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,TGT,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,TROW,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,UTX,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,VFC,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,WBA,True,legacy_fallback,1985-07-01,2017-11-10,8157.0
COVID_2020,WMT,True,yfinance,2005-01-03,2023-02-28,4570.0
COVID_2020,XOM,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,ABBV,True,yfinance,2013-01-02,2023-02-28,2557.0
BEAR_2022,ABT,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,ADM,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,ADP,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,AFL,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,ALB,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,AMCR,True,yfinance,2012-05-15,2023-02-28,2715.0
BEAR_2022,AOS,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,APD,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,ATO,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,BDX,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,BEN,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,BF-B,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,CAH,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,CAT,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,CB,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,CINF,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,CL,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,CLX,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,CTAS,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,CVX,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,DOV,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,ECL,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,ED,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,EMR,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,ESS,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,EXPD,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,FRT,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,GD,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,GPC,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,GWW,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,HRL,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,IBM,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,ITW,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,JNJ,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,KMB,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,KO,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,LIN,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,LOW,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,MCD,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,MDT,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,MKC,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,MMM,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,NEE,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,NUE,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,O,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,PBCT,True,legacy_fallback,2005-02-25,2017-11-10,3201.0
BEAR_2022,PEP,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,PG,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,PNR,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,PPG,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,ROP,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,SHW,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,SPGI,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,SWK,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,SYY,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,T,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,TGT,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,TROW,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,VFC,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,WBA,True,legacy_fallback,1985-07-01,2017-11-10,8157.0
BEAR_2022,WMT,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,WST,True,yfinance,2005-01-03,2023-02-28,4570.0
BEAR_2022,XOM,True,yfinance,2005-01-03,2023-02-28,4570.0
