ticker,data_ticker,signal_type,signal_date,entry_date,entry_open,regime,spy_close,spy_ma50,spy_ma200,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct
GWW,GWW,STOCH_ONLY_CONTROL,2020-01-27,2020-01-28,299.9204681037632,GREEN,294.8765563964844,290.49324462890627,271.4109997558594,2020-01-24,295.781418575677,1.3993609023912557,True,2.0,1.6849995558562814,-12.25909984384429,1.6849995558562814,-5.452339879337509,-5.079623198893534,-6.886549573501844,-4.946103915368772,-11.84439672634353,False,,False,,False,
ABBV,ABBV,STOCH_ONLY_CONTROL,2020-02-04,2020-02-05,65.6660175412691,GREEN,299.9445495605469,292.3174761962891,272.518109588623,2020-01-24,62.076252387259416,5.782831623943929,False,,15.048197858986146,-4.09122519196814,15.048197858986146,-4.09122519196814,14.96590337002257,10.780670490460874,0.4232351498103526,6.524820476348903,True,0.0,True,1.0,True,2.0
ABBV,ABBV,V0.1,2020-02-04,2020-02-05,65.6660175412691,GREEN,299.9445495605469,292.3174761962891,272.518109588623,2020-01-24,62.076252387259416,5.782831623943929,False,,15.048197858986146,-4.09122519196814,15.048197858986146,-4.09122519196814,14.96590337002257,10.780670490460874,0.4232351498103526,6.524820476348903,True,0.0,True,1.0,True,2.0
LOW,LOW,STOCH_ONLY_CONTROL,2020-02-04,2020-02-05,106.83750556484297,GREEN,299.9445495605469,292.3174761962891,272.518109588623,2020-02-03,103.4689329909768,3.2556367176995504,True,14.0,5.1526790629192964,-14.595076527604611,5.1526790629192964,-7.102541515962491,3.7421359361828,5.01991797016299,-10.703614390433525,-10.786579923179207,True,4.0,True,5.0,True,10.0
ROST,ROST,STOCH_ONLY_CONTROL,2020-02-04,2020-02-05,109.92646427740063,GREEN,299.9445495605469,292.3174761962891,272.518109588623,2020-01-28,104.67756289925043,5.014351913410642,True,16.0,6.056212535254768,-13.983093839951088,6.056212535254768,-8.80671085711402,2.554027512402768,5.757240880871528,-4.381983546325974,-13.137441285987306,True,1.0,True,5.0,True,8.0
ROST,ROST,V0.1,2020-02-04,2020-02-05,109.92646427740063,GREEN,299.9445495605469,292.3174761962891,272.518109588623,2020-01-28,104.67756289925043,5.014351913410642,True,16.0,6.056212535254768,-13.983093839951088,6.056212535254768,-8.80671085711402,2.554027512402768,5.757240880871528,-4.381983546325974,-13.137441285987306,True,1.0,True,5.0,True,8.0
CAT,CAT,V0.1,2020-02-05,2020-02-06,122.1005894225905,GREEN,303.40826416015625,292.75697265625,272.73108413696286,2020-01-24,114.23739976821149,6.883200834694669,True,12.0,1.6642667007712442,-14.015894743511792,1.6642667007712442,-7.199687366794683,1.0998680963248963,-0.7163376827894696,-10.101284947928768,-12.149033297875045,False,,False,,False,
DOV,DOV,STOCH_ONLY_CONTROL,2020-02-05,2020-02-06,109.48966339686862,GREEN,303.40826416015625,292.75697265625,272.73108413696286,2020-02-04,105.67652472821186,3.6083119486221893,True,11.0,0.6781031768835266,-16.398634331973206,0.6781031768835266,-4.395169536154753,0.09208983618942401,-0.008383794227484476,-13.598196609418522,-14.649410416526909,False,,False,,False,
DOV,DOV,V0.1,2020-02-05,2020-02-06,109.48966339686862,GREEN,303.40826416015625,292.75697265625,272.73108413696286,2020-02-04,105.67652472821186,3.6083119486221893,True,11.0,0.6781031768835266,-16.398634331973206,0.6781031768835266,-4.395169536154753,0.09208983618942401,-0.008383794227484476,-13.598196609418522,-14.649410416526909,False,,False,,False,
EMR,EMR,STOCH_ONLY_CONTROL,2020-02-05,2020-02-06,66.27102253678258,GREEN,303.40826416015625,292.75697265625,272.73108413696286,2020-01-28,61.57506160565652,7.626400702934366,True,11.0,0.0,-19.57628593562776,0.0,-9.355824402822066,-3.9171848426326594,-5.296527467325918,-15.77974899962089,-18.367699391954474,False,,False,,False,
