ticker,signal_type,signal_date,entry_date,entry_open,regime,swing_start,swing_low,swing_distance_pct,stop_hit_20d,days_to_stop,mfe_20d_pct,mae_20d_pct,mfe_before_stop_pct,mae_before_stop_pct,ret_5d_pct,ret_10d_pct,ret_15d_pct,ret_20d_pct,hit_2pct_before_stop,days_to_2pct,hit_3pct_before_stop,days_to_3pct,hit_5pct_before_stop,days_to_5pct,future_group
NUE,V0.1,2009-10-14,2009-10-15,36.594,GREEN,2009-10-01,35.461,3.1950593609881395,True,7.0,3.2710280373831724,-15.915177351478391,3.2710280373831724,-5.00628518336339,-2.92397660818714,-9.359457834617713,-12.586762857299016,-10.769525058752803,True,4.0,True,4.0,False,,NOT_REMOVED_2007_2010
SWK,V0.1,2009-06-29,2009-06-30,29.285,GREEN,2009-06-19,28.493,2.779630084582174,True,2.0,16.83455694041318,-8.533378862899088,0.2322007853850172,-4.954754994024246,-6.9694382789824205,5.224517671162721,11.053440327812858,14.512549086563077,False,,False,,False,,NOT_REMOVED_2007_2010
USB,V0.1,2009-11-06,2009-11-09,20.488,GREEN,2009-11-04,19.726,3.862922031836158,True,13.0,4.221983600156198,-5.061499414291292,4.221983600156198,-4.846739554861379,-2.2549785240140507,-1.53748535728232,1.7522452167122229,-3.919367434595866,True,0.0,True,2.0,False,,REMOVED_2007_2010
LLY,V0.1,2007-10-30,2007-10-31,42.28,GREEN,2007-10-18,40.687,3.915255487010594,True,5.0,1.0950804162724648,-8.805581835383158,1.0950804162724648,-4.418164616840114,-4.273888363292344,-1.4853358561967789,-8.805581835383158,-1.9252601702932857,False,,False,,False,,NOT_REMOVED_2007_2010
ADP,V0.1,2009-12-22,2009-12-23,31.694,GREEN,2009-12-17,30.993,2.261801051850409,True,19.0,1.438758124566153,-4.335205401653308,1.438758124566153,-4.243705433205025,-0.2397930207610255,-1.1642582192213036,-1.5239477503628418,-3.846153846153844,False,,False,,False,,NOT_REMOVED_2007_2010
SHW,V0.1,2009-06-25,2009-06-26,49.243,GREEN,2009-06-22,47.629,3.3886917634214475,True,4.0,7.91381516154579,-4.140690047316376,1.549458806327797,-4.140690047316376,0.5584550088337359,-0.3756879150336178,7.599049611112241,5.127632353837086,False,,False,,False,,NOT_REMOVED_2007_2010
TGT,V0.1,2009-12-02,2009-12-03,38.882,GREEN,2009-11-19,37.98,2.374934175882037,True,1.0,5.174630934622715,-4.189599300447499,0.3574918985648878,-4.058433208168289,-2.319839514428268,0.8873000360063665,3.325446221902162,3.117123604752847,False,,False,,False,,NOT_REMOVED_2007_2010
BAC,V0.1,2009-12-14,2009-12-15,14.566,GREEN,2009-12-10,14.227,2.382793280382378,True,2.0,11.190443498558288,-3.995606206233704,0.3913222573115327,-3.995606206233704,-0.7757792118632478,-2.464643690786761,9.577097349993124,8.856240560208706,False,,False,,False,,REMOVED_2007_2010
MMM,V0.1,2007-08-08,2007-08-09,74.674,GREEN,2007-08-03,73.578,1.4895756883851252,True,1.0,4.105846747194453,-5.337868602190865,0.2611350670916224,-3.572863379489521,-2.8430243458231863,0.9668693253341188,1.660551195864679,1.1610466829150567,False,,False,,False,,NOT_REMOVED_2007_2010
CTL,V0.1,2009-12-22,2009-12-23,22.906,GREEN,2009-12-18,22.288,2.772792534099056,True,9.0,2.868244128176034,-5.592421199685671,2.868244128176034,-3.178206583427912,0.6592159259582564,-3.1520125731249404,-2.5015279839343374,-3.344101982013437,True,3.0,False,,False,,NOT_REMOVED_2007_2010
LLY,V0.1,2009-12-15,2009-12-16,28.23,GREEN,2009-12-14,27.578,2.364203350496785,True,15.0,2.061636556854407,-3.0712008501594057,2.061636556854407,-3.0712008501594057,0.0,-0.6376195536663132,-2.624867162592981,-0.340063761955367,True,4.0,False,,False,,NOT_REMOVED_2007_2010
ADP,V0.1,2007-09-05,2007-09-06,33.884,GREEN,2007-08-28,33.396,1.4612528446520612,True,1.0,3.7598866721756607,-4.311769566757162,1.1244245071420078,-2.785975681737696,-3.311297367489085,0.5725416125605065,0.3305394876637946,3.2788336678078123,False,,False,,False,,NOT_REMOVED_2007_2010
BDX,V0.1,2009-10-08,2009-10-09,60.071,GREEN,2009-10-05,58.63,2.457786116322702,True,13.0,3.7538912287127024,-3.2161941702318786,1.5614855754024548,-2.705132260158816,1.255181368713698,-1.316775149406535,-0.0599290839173649,3.1296299379068198,False,,False,,False,,NOT_REMOVED_2007_2010
MCD,V0.1,2009-08-11,2009-08-12,45.266,GREEN,2009-07-27,44.261,2.270621992273103,True,3.0,2.343922590907077,-2.644368841956424,1.3232890027835564,-2.52728317059161,-0.4661335218486218,1.9440639773781632,-0.9631953342464584,-1.8954623779437016,False,,False,,False,,NOT_REMOVED_2007_2010
BCR,V0.1,2009-10-08,2009-10-09,74.876,GREEN,2009-09-23,73.299,2.1514618207615355,True,5.0,1.3088305999251926,-5.055024306854017,0.5889737699663389,-2.2957957155831044,-2.2330252684438445,-1.526523852769912,-3.670067845504577,0.5889737699663389,False,,False,,False,,NOT_REMOVED_2007_2010
SWK,V0.1,2009-12-02,2009-12-03,42.655,GREEN,2009-12-01,41.845,1.935715139204208,True,0.0,7.52080647051927,-3.4087445785957127,0.9635447192591684,-2.175594889227528,-0.1453522447544153,2.37017934591488,6.937053100457158,6.097761106552579,False,,False,,False,,NOT_REMOVED_2007_2010
ADP,V0.1,2007-11-30,2007-12-03,33.226,GREEN,2007-11-19,32.904,0.978604424993912,True,10.0,3.828327213627869,-4.144344790224519,3.828327213627869,-1.658339854330948,3.500270872208522,-1.658339854330948,1.7275627520616288,-3.948714861855162,True,2.0,True,5.0,False,,NOT_REMOVED_2007_2010
GWW,V0.1,2007-11-06,2007-11-07,76.578,GREEN,2007-10-19,76.076,0.6598664493401518,True,0.0,5.438898900467493,-2.987803285538926,0.0,-1.633628457259273,1.5631121209746857,-2.987803285538926,2.2996160777246644,3.6211444540207305,False,,False,,False,,NOT_REMOVED_2007_2010
KMB,V0.1,2009-09-11,2009-09-14,46.503,GREEN,2009-09-04,45.881,1.3556810008500175,True,2.0,2.789067371997489,-2.0944885276218628,0.2386942777885314,-1.6127991742468262,-1.4085112788422285,0.2558974689804927,0.0301055845859377,2.072984538631917,False,,False,,False,,NOT_REMOVED_2007_2010
