window,signal_type,signal_date,signals,stocks,stop_rate_pct,avg_ret_20d_pct
BULL_2013_2014,V0.2B_NO_MACD,2014-06-17,1,1,0.0,-0.4466731979476224
BULL_2013_2014,V0.2B_NO_MACD,2014-06-18,2,2,50.0,0.5547526406508518
BULL_2013_2014,V0.2B_NO_MACD,2014-06-20,1,1,0.0,2.6492942453854473
BULL_2013_2014,V0.2B_NO_MACD,2014-06-26,1,1,0.0,-1.6547058554646443
BULL_2013_2014,V0.2B_NO_MACD,2014-06-27,3,3,33.33333333333333,-0.5491660653249649
BULL_2013_2014,V0.2B_NO_MACD,2014-07-01,2,2,100.0,-3.465328942544499
BULL_2013_2014,V0.2B_NO_MACD,2014-07-02,2,2,50.0,-1.8055322517487316
BULL_2013_2014,V0.2B_NO_MACD,2014-07-03,1,1,100.0,-2.145917982193213
BULL_2013_2014,V0.2B_NO_MACD,2014-07-07,1,1,100.0,-6.251347273119212
BULL_2013_2014,V0.2B_NO_MACD,2014-07-11,1,1,100.0,1.0283384060754575
BULL_2013_2014,V0.2B_NO_MACD,2014-07-14,3,3,100.0,-3.9488874283596007
BULL_2013_2014,V0.2B_NO_MACD,2014-07-15,3,3,100.0,-6.2252516745504805
BULL_2013_2014,V0.2B_NO_MACD,2014-07-16,1,1,100.0,-2.8043116291297854
BULL_2013_2014,V0.2B_NO_MACD,2014-07-17,1,1,0.0,1.2128652099189674
BULL_2013_2014,V0.2B_NO_MACD,2014-07-18,3,3,100.0,-1.1501541480898214
BULL_2013_2014,V0.2B_NO_MACD,2014-07-22,2,2,50.0,3.2769342090096076
BULL_2013_2014,V0.2B_NO_MACD,2014-07-23,1,1,0.0,3.45511683842763
BULL_2013_2014,V0.2B_NO_MACD,2014-07-24,1,1,0.0,6.889045179007991
BULL_2013_2014,V0.2B_NO_MACD,2014-07-28,1,1,100.0,1.1831596047109816
BULL_2013_2014,V0.2B_NO_MACD,2014-08-01,1,1,0.0,4.42897596495877
BULL_2013_2014,V0.2B_NO_MACD,2014-08-04,2,2,0.0,4.747790551556951
BULL_2013_2014,V0.2B_NO_MACD,2014-08-05,4,4,0.0,4.516183379414517
BULL_2013_2014,V0.2B_NO_MACD,2014-08-07,3,3,0.0,0.9087793898280072
BULL_2013_2014,V0.2B_NO_MACD,2014-08-08,4,4,0.0,1.5608126655151544
BULL_2013_2014,V0.2B_NO_MACD,2014-08-11,5,5,20.0,1.9623675858696354
BULL_2013_2014,V0.2B_NO_MACD,2014-08-12,2,2,0.0,4.995699956460831
BULL_2013_2014,V0.2B_NO_MACD,2014-08-13,1,1,100.0,0.5292943136305128
BULL_2013_2014,V0.2B_NO_MACD,2014-08-14,1,1,0.0,7.589408303367118
BULL_2013_2014,V0.2B_NO_MACD,2014-08-21,1,1,0.0,2.726184368051987
